Tag,Question,Responses 
Never,"Hey, have you ever seen Never Back Down?","Yea, I thought it was really good!-Really?-I thought it was kind of cheesy.-Well, yea, but movies like that are supposed to be.-That's true, like how this football player who's never had a fight in his life is suddenly going up against top fighters.-Yea, that was pretty stupid.-Or how about how that guy's girlfriend just dumps him and gets with the new guy so fast?-Yea, the script wasn't well thought out.-The fight scenes were great though.-Oh yea, the fight scenes were fantastic."
What,What do you think is the best action film in the last five years?,"That is a hard one.-Maybe something like, Edge of Tommorow.-With the aliens and the big guns, very suspenseful and lots of action.-I liked the way the plot played with time too.-Oh yes, they died so many times it was crazy.-I like that one and Snowpiercer.-I have never seen that one.-It has Chris Evans in it, it is not a really popular one.-Is it a super hero one?-No, he is on a train going no where and there is just a lot of action.-He ends up dying in the end."
Terminator,I've always thought Terminator was one of the best action movies ever.,"Oh, yeah.-It's right up there.-Linda Hamilton is amazing in the sequel, though.-She made a big impression on me growing up.-I wonder how long she has to work out to look so buff.-I'm sure she had to train relentlessly for months.-Arnold Schwarzenegger is so awesome always.-Yeah, I'd watch any action film with him in it.-Hey, have you ever seen Commando?-That's an underrated film of his.-I saw it long ago.-Yeah, I remember thinking it was pretty entertaining."
Die,Die hard 1 will always be one of my favorite action movies!,"I know what you mean, especially considering the rest of them.-Under siege is also a classic.-I agree, die hard on a boat!-Exactly, Steven sepals when he was actually good!-But what about hardcore Henry, that was an amazing action film.-That was great, it’s the first time I have ever seen a movie like that, it was like watching a video game.-Yes, it was must have been a nightmare to film.-And you never see his face.-Exactly, you never really know who he is.-The way he beats everybody to get to the boss was great.-Yes and it had a great twist as well with the girlfriend.-Yes, I truly did not see that coming."
Guess,Guess what action movie we watched last night.,"I don't know.-There's so many.-Your favorite one, Die Hard.-With Bruce Willis.-Yes a favorite.-That movie is just great.-It will never be boring no matter how many times you watch it.-I love it.-John McClain, a classic character.-Did you like the second one too.-Is that the one in the airport?-Yes.-Yeah, that one was great too."
That,That was horrible!,"What happened to action films?-I know.-The last one I really loved was Tomb Raider.-Tomb Raider, really?-The one based on the game?-Exactly that one.-Angelina Jolie was great in it.-I remember the sequel, too, The Cradle of Life.-There was supposed to be a third one, I think, but it got cancelled.-I loved that U2 song that they used for the theme.-That whole film was great.-Did you know Angelina did most her own stunts?-That's insane!-She must be really dedicated.-Oh, yeah, I'm a big fan!"
Hi,Hi.,"Hello.-Do you like action movies.-Yeah sure.-What are your top 3.-Oh, tough question.-Sure think about it.-Top Gun, Terminator, Terminator 2
Those are great choices.-Thanks."
Do,Do you like taken?,"Yes i love taken
I just saw a family guy based off that episode
I bet it was funny
It was really fun
Meg and her friend went to paris and got taken
That sounds great
But i really do love the movies
They were done so well
They are addicting to"
Transformer,Did you see the advert for the new Transformer movie?,"It was just action packed.-Do you think the film will be as well?-I think so.-The last ones were not so good.-They had too much going one in them.-The plot was just too confusing.-The new one, some of the good guys go bad.-Optimus Prime goes bad right?-Yes, he wants to kill all humans so the autobots can have the earth.-I wonder if in the movie he will go good again?"
Hello,Hello.,"Hi.-Do you watch action movies?-Yeah definitely.-Do you have a favorite one?-I like Bad Boys.-With Will Smith?-Yeah that's the one.-You know I've never seen that one.-Oh man, you should definitely see it."
Taken,Have you seen the Taken movies?,"Yes I like them.-I like all of them.-They did them all right, I was sad when they killed Lenore off though.-Yes me too.-I like Liam Neeson.-I watch a lot of his movies.-Yeah he is pretty cool.-Did you ever see The Other Man?-No.-Really good movie, his wife dies of cancer.-After she dies he finds out she was having an affair.-Not his typical kind of movie, but really good."
music,have you seen the kill bill series?,"yes, its pretty awesome.-yea, its so suspensful
i agree, its really good though.-especially when she was buried alive and had to punch her way out of the coffin.-yep, its pretty amazing how she was able to get out.-beatrice was so awesome when she fought.-yea!-i love her codename too.-Black manba?-it does sound really cool
i know right!-it really does!"
You,"I hate action movies with drama
But the drama is usually plot
and plot is the worst part of an action movie
You speak blasphemy
Nah i speak the truth
How can you enjoy stuff being mindless
Because it is fun
but fun can be boring
No it cannot
Why not",
Nicholas,What was Nicholas Cage's best movie?,"He's been in some pretty good ones and some bad ones.-I would probably say The Rock.-Nah.-Face-Off.-That movie was too ridiculous.-The premise alone was dumb.-And The Rock was more believable?-He took down a team of soldiers.-I'm not saying it wasn't far-fetched, but at least it was in the realm of plausible.-Face transplants can happen.-I read an article about it.-There's a difference between some medical journals and what happens in the movies.-You're just jealous because I'm the good looking one."
Who,Who is a good action hero?,"Jackie Chan, Van Damme, Arnold, and many more.-Can you think of a good Van Damme movie?-Yes, Lionheart is amazing.-I also like Cyborg.-Those sound cool.-They are.-They are pure action movies.-I've seen Street Fighter.-I liked that.-I liked that too.-It was a good movie.-What do you think is the best action movie ever?-Terminator for sure."
Which,Which new action movie do you really like?,"I really like Kong: Skull Island.-Why do you like this one?-The action and screenplay was amazing in this film.-Why do you say that?-I like how the fighting and action was non-stop.-I really liked the War of the Planet Apes.-Yes, this movie was great as well.-I really liked how the humans and monkeys just clashed over and over again.-Yes, that makes for an epic show down in the next movie."
Kong,Did you ever get to go see Kong: Skull Island?,"No, I have not.-What was it like?-It was quite stunning, the director Jordan Vogt-Roberts did a great job with the action in this movie.-Who starred in the production?-Tom Hiddelston, Brie Larson, Samuel L Jackson and John Goodman were all in this one!-Nice cast, I suspect Tim was the leading man?-Yes, they end up finding an unchartered island together with quite a bit of danger and of course Kong.-It looks better than the last Kong movie they did in Hollywood.-You should go see it, maybe next week if I can I will go with you.-Thanks!-That sounds great!"
Lethal,What do you think of the Lethal Weapon franchise?,"The series?-No, the films.-Oh, I forgot about them.-I liked them.-Did you think Danny Glover was a good fit.-I think he was, he matched well with Mel Gisbon.-I liked their chemsitry.-They always had some good jokes in the midst of the explosions and so on.-I liked that they showed Glover with a nice family.-And the other guy, Gibson, as a sort of loose cannon."
You,You know what movie I love?,"Django Unchained.-Dear God.-I loved that movie, too.-A lot of people say it was slow, but I completely disagree.-The dialogue was superb.-Exactly.-That why I watch Tarantino films.-The dialogue.-He is really a master.-Like with Pulp Fiction when Samuel L. Jackson is in the house with those small time drug dealers.-""Mmhmm!-This IS a tasty burger!""-I will never forget that so long as I live!-That scene is full of amazing dialogue.-How about, ""I want you to go in that bag, and find my wallet.""-And the guy goes, ""Which one is it?""-Oh, yes!-And he says, ""It's the one that says 'Bad Mother' beep!"""
